,PROFIT_DIFF_1_z60_rolling_ic_size252,PROFIT_DIFF_1_z60_rolling_icir_size252,PROFIT_DIFF_1_z60_rolling_rankic_size252
2023-07-18,0.04252257675152321,1.2940453778129863,0.061954240521553454
2023-07-19,0.043117263081485085,1.2977701340927696,0.06383568655053684
2023-07-20,0.04470207646359063,1.3020500213588084,0.06755583551418232
2023-07-21,0.04538430767850301,1.3064463925946348,0.06758133139500554
2023-07-24,0.04519735249229596,1.3111471087667828,0.06828471775418704
2023-07-25,0.043744696286401964,1.3154943602863305,0.06576212531038471
2023-07-26,0.044922255680161484,1.31980707293759,0.06815798822891873
2023-07-27,0.046828480579376906,1.3248532069366796,0.06811899452883617
2023-07-31,0.04201107228046684,1.3283144752427434,0.060065295704092664
2023-08-01,0.03436661849810862,1.3296976885063816,0.05453043992891278
2023-08-02,0.034040795482681394,1.3310074104928546,0.05278322221367514
2023-08-03,0.03491865678697753,1.3323716877306548,0.05402314688841569
2023-08-07,0.03381739343875955,1.3335247287691525,0.05263812065663716
2023-08-08,0.03366830628164627,1.33457841936484,0.05209820788626329
2023-08-09,0.03760796042177957,1.33689568928636,0.05778078979444825
2023-08-10,0.03091531976215463,1.3383672982365418,0.04992168453069365
2023-08-11,0.038042013615354496,1.3403343692956553,0.05725924905584405
2023-08-14,0.03874754919900229,1.342411668739573,0.058776253964825054
2023-08-15,0.0388241722079495,1.3445986499057485,0.05933116431215375
2023-08-16,0.039454225243085686,1.3474850623459902,0.06145332145126215
2023-08-17,0.03913297546798409,1.3503836545457792,0.06084779428171091
2023-08-21,0.039323075824313915,1.3533274432903761,0.06128947292303063
2023-08-22,0.03936225669454864,1.3563832701034493,0.06135771189817511
2023-08-23,0.039430854014456,1.3590267173739872,0.06267974830674335
2023-08-24,0.04944422210887485,1.3643120605118442,0.07004655810695565
2023-08-25,0.04969889276074712,1.3720914188505742,0.07040612501444769
2023-08-28,0.05161942042721349,1.3801732272507448,0.07428674805150987
2023-08-29,0.047273755700015956,1.3872405120497613,0.06862141335682297
2023-08-30,0.0626041788675253,1.4016877499814597,0.07733538050700285
