日期,升贴水,进口利润,三月进口利润
26/1/2022,-10,-1388,-1572
27/1/2022,-10,-1491,-1419
28/1/2022,-10,-1667,-1410
29/1/2022,,,
30/1/2022,,,
31/1/2022,,,
1/2/2022,,,
2/2/2022,,,
3/2/2022,,,
4/2/2022,,,
5/2/2022,,,
6/2/2022,,,
7/2/2022,-10,-1185,-1055
8/2/2022,0,-1293,-1042
9/2/2022,0,-953,-1035
10/2/2022,0,-1029,-1147
11/2/2022,-20,-546,-342
14/2/2022,-20,-1519,-1172
15/2/2022,0,,
16/2/2022,-20,-1303,-1255
17/2/2022,0,-1474,-1445
18/2/2022,0,-1594,-1440
21/2/2022,-10,-1716,-1571
22/2/2022,-10,-1765,-1666
23/2/2022,-60,-1746,-1612
24/2/2022,-60,,
25/2/2022,-50,-2009,-1836
26/2/2022,,,
27/2/2022,,,
28/2/2022,-50,-3070,-2980
1/3/2022,-70,,
2/3/2022,-70,-2872,-2850
3/3/2022,-110,-3405,-3207
4/3/2022,-100,-4811,-4478
5/3/2022,,,
6/3/2022,,,
7/3/2022,-90,-5421,-5512
8/3/2022,-60,-5129,-5091
9/3/2022,-40,-3756,-4265
10/3/2022,-20,,
11/3/2022,-30,-3693,-4229
12/3/2022,,,
13/3/2022,,,
14/3/2022,-40,-3407,-3973
15/3/2022,-20,-2604,-3174
16/3/2022,-20,-2707,-2885
17/3/2022,-20,-2140,-2390
18/3/2022,-40,-2782,-2828
21/3/2022,-60,-3090,-3309
22/3/2022,-70,-3214,-3326
23/3/2022,-70,-3142,-3255
24/3/2022,-90,-3875,-4165
25/3/2022,-80,-3391,-3518
28/3/2022,-70,-3589,-3802
29/3/2022,-70,-3641,-3961
30/3/2022,-70,-2902,-2986
31/3/2022,-90,-3208,-3360
1/4/2022,-90,-2849,-3081
2/4/2022,,,
3/4/2022,,,
4/4/2022,,,
5/4/2022,,,
6/4/2022,-90,-2721,-2973
7/4/2022,-70,-3097,-3597
8/4/2022,-50,-3207,-3471
9/4/2022,,,
10/4/2022,,,
11/4/2022,-50,-2906,-3515
12/4/2022,-40,-3197,-3355
13/4/2022,-40,-3002,-3100
14/4/2022,0,-2568,-2820
15/4/2022,-50,,
16/4/2022,,,
17/4/2022,,,
18/4/2022,-40,,
19/4/2022,-50,-2623,-3019
20/4/2022,-50,-2383,-2657
21/4/2022,-60,-2544,-2849
22/4/2022,-60,-2939,-2943
24/4/2022,,,
25/4/2022,-50,-3061,-3627
26/4/2022,-30,-2890,-3195
27/4/2022,-30,-2811,-3055
28/4/2022,-30,-2865,-2897
29/4/2022,-40,-2611,-2882
30/4/2022,,,
1/5/2022,,,
2/5/2022,,,
3/5/2022,,,
4/5/2022,,,
5/5/2022,-40,-2216,-2808
6/5/2022,-40,-2072,-2837
7/5/2022,,,
8/5/2022,,,
9/5/2022,-30,-2073,-2470
10/5/2022,-30,-1848,-1988
11/5/2022,-30,-1646,-1924
12/5/2022,-10,-1293,-1946
13/5/2022,,-1820,-1950
14/5/2022,,,
15/5/2022,,,
16/5/2022,20,-1754,-2066
17/5/2022,0,-1693,-2102
18/5/2022,0,-2202,-2564
19/5/2022,0,-1830,-1998
20/5/2022,-10,-2163,-2566
21/5/2022,,,
22/5/2022,,,
23/5/2022,-10,-1907,-2169
24/5/2022,-10,-1920,-2341
25/5/2022,-10,-1649,-1998
26/5/2022,-10,-1697,-2042
27/5/2022,0,-1476,-2096
30/5/2022,0,-1480,-1774
31/5/2022,-10,-1503,-1765
1/6/2022,-30,-1414,-1615
2/6/2022,-30,,
3/6/2022,,,
4/6/2022,,,
5/6/2022,,,
6/6/2022,-40,-546,-726
7/6/2022,-50,-487,-897
8/6/2022,-50,-620,-989
9/6/2022,-70,-1061,-1263
10/6/2022,-70,-908,-797
13/6/2022,-30,-562,-936
14/6/2022,10,-690,-841
15/6/2022,90,-38,-362
16/6/2022,0,-94,-384
17/6/2022,0,198,112
18/6/2022,,,
19/6/2022,,,
20/6/2022,20,-105,-565
21/6/2022,20,-153,-468
22/6/2022,20,-109,-707
23/6/2022,20,-636,-696
24/6/2022,20,-410,-839
27/6/2022,20,-291,-575
28/6/2022,0,-593,-582
29/6/2022,-10,-286,-575
30/6/2022,-20,-330,-669
1/7/2022,-30,-121,-271
4/7/2022,-40,-459,-794
5/7/2022,-40,-415,-1128
6/7/2022,-30,-816,-913
7/7/2022,-30,-995,-947
8/7/2022,-30,-828,-1026
9/7/2022,,,
10/7/2022,,,
11/7/2022,-30,-1263,-1395
12/7/2022,-20,-1096,-1632
13/7/2022,0,-1415,-1913
14/7/2022,0,-1596,-1886
15/7/2022,40,-1361,-1680
16/7/2022,,,
17/7/2022,,,
18/7/2022,0,-1485,-1618
19/7/2022,-10,-1631,-1693
20/7/2022,-10,-1812,-1816
21/7/2022,-10,-1987,-1902
22/7/2022,-10,-1967,-2011
25/7/2022,-10,-2072,-2142
26/7/2022,-10,-2050,-1837
27/7/2022,-10,-1802,-1667
28/7/2022,-30,-1807,-1361
29/7/2022,-30,-1635,-1415
31/7/2022,,,
1/8/2022,-20,-1880,-1858
2/8/2022,-20,-1688,-1811
3/8/2022,-30,-1464,-1430
4/8/2022,-50,-1067,-1270
5/8/2022,-70,-1401,-1714
8/8/2022,-90,-1410,-1405
9/8/2022,-90,-1610,-1565
10/8/2022,-120,-1320,-1472
11/8/2022,,-1684,-1814
12/8/2022,-350,-1777,-1766
15/8/2022,-220,-1421,-1759
16/8/2022,0,-1605,-1662
17/8/2022,0,-1407,-1463
18/8/2022,0,-920,-1437
19/8/2022,0,-1345,-1586
22/8/2022,0,-1365,-1472
23/8/2022,0,-1385,-1339
24/8/2022,-20,-1464,-1333
25/8/2022,-20,-1364,-1322
26/8/2022,-20,-1421,-1438
29/8/2022,-30,,-2132
30/8/2022,-40,-1826,-1999
31/8/2022,-40,-1657,-1659
1/9/2022,-40,-1119,-1586
2/9/2022,-30,-1209,-1497
3/9/2022,,,
4/9/2022,,,
5/9/2022,-30,-923,-1017
6/9/2022,-40,-862,-892
7/9/2022,-40,-569,-768
8/9/2022,-40,-652,-683
9/9/2022,-40,-639,-671
10/9/2022,,,
11/9/2022,,,
12/9/2022,,,
13/9/2022,-40,-543,-782
14/9/2022,,-729,-870
15/9/2022,0,-636,-678
16/9/2022,-50,-435,-750
19/9/2022,-50,-392,-648
20/9/2022,-50,-359,-660
21/9/2022,,-517,-687
22/9/2022,-50,-220,-389
23/9/2022,-50,-289,-511
26/9/2022,-40,216,-437
27/9/2022,-40,-54,-326
28/9/2022,-40,-24,-230
29/9/2022,-40,-86,-334
30/9/2022,-40,-702,-965
1/10/2022,,,
2/10/2022,,,
3/10/2022,,,
4/10/2022,,,
5/10/2022,,,
6/10/2022,,,
7/10/2022,,,
8/10/2022,,,
9/10/2022,,,
10/10/2022,-40,-804,-840
11/10/2022,-50,-691,-811
12/10/2022,-50,-864,-755
13/10/2022,-80,-1155,-1263
14/10/2022,-90,-1698,-2051
15/10/2022,,,
16/10/2022,,,
17/10/2022,-180,-937,-968
18/10/2022,-10,-929,-1064
19/10/2022,10,-437,-781
20/10/2022,20,-476,-724
21/10/2022,20,-319,-708
24/10/2022,30,-473,-843
25/10/2022,20,-532,-725
26/10/2022,0,-649,-747
27/10/2022,-20,-1304,-1449
28/10/2022,-30,-1097,-956
29/10/2022,,,
30/10/2022,,,
31/10/2022,,-1303,-1680
1/11/2022,-10,-1380,-1629
2/11/2022,,-1556,-1864
3/11/2022,20,-1302,-1592
4/11/2022,30,-1273,-1234
5/11/2022,,,
6/11/2022,,,
7/11/2022,30,-1482,-1618
8/11/2022,10,-1587,-1652
9/11/2022,0,-1827,-1918
10/11/2022,-20,-1264,-1196
11/11/2022,-40,-1100,-1314
12/11/2022,,,
13/11/2022,,,
14/11/2022,-50,-1413,-1421
15/11/2022,-50,-1523,-1504
16/11/2022,10,-1620,-1708
17/11/2022,50,-1392,-1448
18/11/2022,70,-932,-1176
19/11/2022,,,
20/11/2022,,,
21/11/2022,70,-1303,-1296
22/11/2022,70,-1017,-1259
23/11/2022,60,-1476,-1645
24/11/2022,60,-1224,-1607
25/11/2022,70,-1053,-1237
28/11/2022,80,-1124,-1448
29/11/2022,80,-1071,-1265
30/11/2022,70,-904,-1013
1/12/2022,60,-1291,-1519
2/12/2022,60,-1438,-1532
3/12/2022,,,
4/12/2022,,,
5/12/2022,50,-1485,-1837
6/12/2022,50,-1117,-1447
7/12/2022,40,-976,-1395
8/12/2022,40,-1115,-1361
9/12/2022,10,-1293,-1511
10/12/2022,,,
11/12/2022,,,
12/12/2022,-10,-1129,-1501
13/12/2022,-40,-841,-1232
14/12/2022,-300,-1076,-1422
15/12/2022,-280,-1071,-1444
16/12/2022,120,-867,-1124
17/12/2022,,,
18/12/2022,,,
19/12/2022,120,-568,-989
20/12/2022,140,-594,-940
21/12/2022,160,-660,-958
22/12/2022,160,-644,-1085
23/12/2022,160,,
24/12/2022,,,
25/12/2022,,,
26/12/2022,140,,
27/12/2022,80,,
28/12/2022,0,-618,-963
29/12/2022,-20,-614,-667
30/12/2022,-30,-693,-857
31/12/2022,,,
1/1/2023,,,
2/1/2023,,,
3/1/2023,-30,-853,-1078
4/1/2023,-30,-520,-805
5/1/2023,-60,-542,-510
6/1/2023,-60,-463,-375
7/1/2023,,,
8/1/2023,,,
9/1/2023,-60,-530,-570
10/1/2023,-70,-1089,-1037
11/1/2023,-70,-1206,-1288
12/1/2023,-30,-1206,-1188
13/1/2023,0,-1523,-1730
14/1/2023,,,
15/1/2023,,,
16/1/2023,-10,-1856,-1836
17/1/2023,-70,-1871,-1947
18/1/2023,-90,-1971,-1714
19/1/2023,-100,-1734,-1581
20/1/2023,-100,-1679,-1272
21/1/2023,,,
22/1/2023,,,
23/1/2023,,,
24/1/2023,,,
25/1/2023,,,
26/1/2023,,,
27/1/2023,,,
28/1/2023,,,
29/1/2023,-100,,
30/1/2023,-110,-1610,-1547
31/1/2023,-100,,-1313
1/2/2023,-110,-1585,-1430
2/2/2023,-100,-1567,-1610
3/2/2023,-80,-1620,-1547
4/2/2023,,,
5/2/2023,,,
6/2/2023,-70,-1536,-1360
7/2/2023,-70,-1024,-1092
8/2/2023,-60,-840,-871
9/2/2023,-50,-704,-818
10/2/2023,-50,-1031,-831
11/2/2023,,,
12/2/2023,,,
13/2/2023,-30,-945,-969
14/2/2023,-30,,
15/2/2023,-30,-950,-878
16/2/2023,-70,-600,-908
17/2/2023,-70,-627,-765
18/2/2023,,,
19/2/2023,,,
20/2/2023,-80,-616,-717
21/2/2023,-90,-898,-961
22/2/2023,-100,-893,-984
23/2/2023,-100,-669,-838
24/2/2023,-110,-746,-860
25/2/2023,,,
26/2/2023,,,
27/2/2023,-90,-435,-664
28/2/2023,-90,-635,-769
1/3/2023,-90,-721,-728
2/3/2023,-90,-900,-1003
3/3/2023,-80,-765,-862
4/3/2023,,,
5/3/2023,,,
6/3/2023,-70,-663,-838
7/3/2023,-70,-567,-856
8/3/2023,-50,-434,-632
9/3/2023,-50,-439,-652
10/3/2023,-40,,-284
11/3/2023,,,
12/3/2023,,,
13/3/2023,-20,-192,-259
14/3/2023,-10,-114,-423
15/3/2023,10,-394,-590
16/3/2023,-40,-12,-315
17/3/2023,-50,-168,-482
18/3/2023,,,
19/3/2023,,,
20/3/2023,-50,251,-277
21/3/2023,-50,-10,-299
22/3/2023,-80,24,-166
23/3/2023,-80,-4,-191
24/3/2023,-60,-356,-640
25/3/2023,,,
26/3/2023,,,
27/3/2023,-60,-523,-671
28/3/2023,-50,-554,-685
29/3/2023,-50,-653,-771
30/3/2023,-60,-633,-711
31/3/2023,-70,-673,-787
1/4/2023,,,
2/4/2023,,,
3/4/2023,-50,-715,-888
4/4/2023,-40,-722,-873
5/4/2023,,,
6/4/2023,-30,-383,-642
7/4/2023,-30,,-552
8/4/2023,,,
9/4/2023,,,
10/4/2023,-30,,
11/4/2023,-20,-527,-669
12/4/2023,-20,-229,-464
13/4/2023,-20,-301,-498
14/4/2023,20,-658,-961
15/4/2023,,,
16/4/2023,,,
17/4/2023,,-736,-696
18/4/2023,10,-738,-670
19/4/2023,30,-669,-732
20/4/2023,,-855,-803
21/4/2023,30,-625,-468
22/4/2023,,,
23/4/2023,,,
24/4/2023,10,-518,-670
25/4/2023,0,-709,-735
26/4/2023,0,-548,-632
27/4/2023,-10,-541,-658
28/4/2023,-10,-804,-634
29/4/2023,,,
30/4/2023,,,
1/5/2023,,,
2/5/2023,,,
3/5/2023,,,
4/5/2023,-10,-596,-657
5/5/2023,10,-659,-532
6/5/2023,,,
7/5/2023,,,
8/5/2023,30,,-669
9/5/2023,40,-734,-781
10/5/2023,40,-733,-822
11/5/2023,0,-292,-658
12/5/2023,-40,-465,-370
13/5/2023,,,
14/5/2023,,,
15/5/2023,0,-671,-516
16/5/2023,80,-600,-865
17/5/2023,120,-700,-735
18/5/2023,150,-781,-964
19/5/2023,150,-708,-827
20/5/2023,,,
21/5/2023,,,
22/5/2023,,-569,-1031
23/5/2023,150,-437,-1039
24/5/2023,140,-591,-1121
25/5/2023,140,-759,-1222
26/5/2023,120,-986,-1545
27/5/2023,,,
28/5/2023,,,
29/5/2023,120,,-1168
30/5/2023,90,-816,-1080
31/5/2023,60,-1056,-1096
1/6/2023,40,-1122,-1068
2/6/2023,20,-795,-1407
3/6/2023,,,
4/6/2023,,,
5/6/2023,0,-455,-1225
6/6/2023,-20,-488,-1157
7/6/2023,-20,-333,-1113
8/6/2023,0,-259,-1001
9/6/2023,0,-493,-1377
10/6/2023,,,
11/6/2023,,,
12/6/2023,-10,-386,-1228
13/6/2023,-30,-579,-1059
14/6/2023,0,-484,-960
15/6/2023,-10,-362,-822
16/6/2023,300,-387,-1185
17/6/2023,,,
18/6/2023,,,
19/6/2023,350,-356,-1370
20/6/2023,400,-204,-1178
21/6/2023,300,-26,-1052
22/6/2023,,,
23/6/2023,,,
24/6/2023,,,
25/6/2023,,,
26/6/2023,300,-260,-1154
27/6/2023,300,-134,-862
28/6/2023,300,-237,-1073
29/6/2023,300,-38,-963
30/6/2023,270,-30,-954
1/7/2023,,,
2/7/2023,,,
3/7/2023,220,-1,-814
4/7/2023,170,41,-878
5/7/2023,70,-93,-966
6/7/2023,0,-108,-827
7/7/2023,0,-7,-679
8/7/2023,,,
9/7/2023,,,
10/7/2023,-20,-59,-700
11/7/2023,-30,-340,-755
12/7/2023,-50,-236,-668
13/7/2023,-60,-529,-944
14/7/2023,-90,-695,-1235
15/7/2023,,,
16/7/2023,,,
17/7/2023,10,-740,-1129
18/7/2023,120,-730,-1152
19/7/2023,60,-460,-853
20/7/2023,30,-433,-712
21/7/2023,30,-517,-781
24/7/2023,30,-458,-737
25/7/2023,30,-542,-684
26/7/2023,20,-370,-590
27/7/2023,20,-199,-471
28/7/2023,10,-258,-346
29/7/2023,,,
30/7/2023,,,
31/7/2023,0,-332,-500
1/8/2023,-20,-462,-722
2/8/2023,-40,-307,-600
3/8/2023,-40,-111,-402
4/8/2023,-30,-109,-483
5/8/2023,,,
6/8/2023,,,
7/8/2023,-10,-249,-539
8/8/2023,-10,-242,-572
9/8/2023,-10,-234,-504
10/8/2023,-10,-87,-479
11/8/2023,-20,-49,-446
14/8/2023,-10,114,-416
15/8/2023,20,7,-388
16/8/2023,100,299,-395
17/8/2023,150,256,-357
18/8/2023,130,243,-363
19/8/2023,,,
20/8/2023,,,
21/8/2023,130,368,-327
22/8/2023,150,244,-298
23/8/2023,150,224,-407
24/8/2023,170,186,-323
25/8/2023,190,249,-311
28/8/2023,200,,-200
29/8/2023,180,386,-159
30/8/2023,130,424,-160
31/8/2023,80,332,-218
1/9/2023,50,545,-468
4/9/2023,20,623,-212
5/9/2023,0,455,-149
6/9/2023,0,487,-24
7/9/2023,20,632,-19
8/9/2023,20,608,45
11/9/2023,10,610,-69
12/9/2023,-60,687,42
13/9/2023,-80,643,44
14/9/2023,10,433,-64
15/9/2023,-30,576,-43
16/9/2023,,,
17/9/2023,,,
18/9/2023,220,579,-142
19/9/2023,230,573,-178
20/9/2023,250,524,-180
21/9/2023,250,488,-217
22/9/2023,230,603,-170
25/9/2023,220,549,-119
26/9/2023,200,676,-19
27/9/2023,180,550,-33
28/9/2023,150,567,2
29/9/2023,,,
30/9/2023,,,
1/10/2023,,,
2/10/2023,,,
3/10/2023,,,
4/10/2023,,,
5/10/2023,,,
6/10/2023,,,
7/10/2023,,,
8/10/2023,,,
9/10/2023,130,387,-228
10/10/2023,100,392,-272
11/10/2023,50,247,-156
12/10/2023,0,103,-174
13/10/2023,10,58,-19
16/10/2023,,38,-108
17/10/2023,90,62,-181
18/10/2023,100,17,-176
19/10/2023,110,224,-158
20/10/2023,110,287,-70
23/10/2023,80,185,-86
24/10/2023,50,27,-94
25/10/2023,0,-74,-85
26/10/2023,-10,-212,-118
27/10/2023,-20,-264,-171
30/10/2023,-60,-242,-71
31/10/2023,-80,-545,-311
1/11/2023,-80,-360,-217
2/11/2023,-80,-226,-195
3/11/2023,-80,-119,-99
6/11/2023,-70,-310,-184
7/11/2023,-70,-390,-304
8/11/2023,-70,-381,-232
9/11/2023,-60,-298,-205
10/11/2023,-60,-211,-70
13/11/2023,-50,-350,-177
14/11/2023,-30,-157,-105
15/11/2023,0,-62,-144
16/11/2023,-30,-45,-145
17/11/2023,-30,51,36
20/11/2023,-10,109,-89
21/11/2023,-10,127,-168
22/11/2023,-10,16,-270
23/11/2023,-10,92,-130
24/11/2023,-20,154,-90
27/11/2023,-20,217,15
28/11/2023,-30,307,80
29/11/2023,-40,310,-179
30/11/2023,-20,39,-142
1/12/2023,-10,260,73
4/12/2023,-10,269,-52
5/12/2023,0,262,-96
6/12/2023,-10,324,16
7/12/2023,-20,371,95
8/12/2023,-20,355,-1
11/12/2023,-30,428,136
12/12/2023,-50,466,167
13/12/2023,-50,570,341
14/12/2023,-70,552,141
15/12/2023,-80,304,-154
18/12/2023,30,245,-140
19/12/2023,20,98,-206
20/12/2023,10,56,-202
21/12/2023,-10,174,2
22/12/2023,-30,190,-139
25/12/2023,-50,,-488
26/12/2023,-40,,-348
27/12/2023,-20,-66,-225
28/12/2023,-40,-211,-506
29/12/2023,-10,-226,-503
31/12/2023,,,
1/1/2024,,,
2/1/2024,-10,-516,-449
3/1/2024,0,148,-261
4/1/2024,0,180,-212
5/1/2024,0,217,-112
8/1/2024,0,,
9/1/2024,10,300,5
10/1/2024,20,341,0
11/1/2024,20,228,28
12/1/2024,30,255,-11
15/1/2024,-10,362,34
16/1/2024,80,385,4
17/1/2024,100,359,17
18/1/2024,90,326,77
19/1/2024,70,454,169
22/1/2024,70,429,177
23/1/2024,60,321,214
24/1/2024,50,-2,-54
25/1/2024,40,111,38
26/1/2024,40,118,27
29/1/2024,20,34,-106
30/1/2024,10,-45,-175
31/1/2024,0,-167,-218
1/2/2024,-10,-180,-250
2/2/2024,-20,-98,-270
4/2/2024,,,
5/2/2024,-20,-227,-196
6/2/2024,0,-76,-16
7/2/2024,0,-88,-98
8/2/2024,40,-121,-94
9/2/2024,,,
12/2/2024,,,
13/2/2024,,,
14/2/2024,,,
15/2/2024,,,
16/2/2024,,,
18/2/2024,,,
19/2/2024,20,-125,-80
20/2/2024,-10,60,0
21/2/2024,-20,-194,-235
22/2/2024,-20,-138,-159
23/2/2024,-20,136,13
26/2/2024,-30,166,91
27/2/2024,-30,220,87
28/2/2024,-30,245,115
29/2/2024,-10,186,125
1/3/2024,-10,,
4/3/2024,-20,-49,-55
5/3/2024,-30,88,8
6/3/2024,-40,33,41
7/3/2024,-40,80,53
8/3/2024,-40,67,-18
11/3/2024,-40,100,85
12/3/2024,-40,61,-13
13/3/2024,-30,30,14
14/3/2024,10,118,-68
15/3/2024,30,-56,-55
18/3/2024,-50,-18,-165
19/3/2024,-50,-14,-204
20/3/2024,-50,-72,-154
21/3/2024,-60,-216,-213
22/3/2024,-70,-243,-293
25/3/2024,,-255,-308
26/3/2024,-90,-267,-367
27/3/2024,-90,-335,-252
28/3/2024,-90,-383,-281
29/3/2024,-110,,
31/3/2024,,,
1/4/2024,-110,,
2/4/2024,-90,-593,-397
3/4/2024,-90,-781,-590
4/4/2024,,,
5/4/2024,,,
7/4/2024,,,
8/4/2024,-90,-992,-906
9/4/2024,-80,-951,-832
10/4/2024,-70,-1033,-817
11/4/2024,-50,-856,-742
12/4/2024,0,-851,-727
15/4/2024,-60,-2143,-1747
16/4/2024,-80,-1746,-1635
17/4/2024,-80,-2162,-1628
18/4/2024,-80,-2444,-1831
19/4/2024,-60,-2600,-2337
22/4/2024,-50,-2748,-2335
23/4/2024,-50,-2772,-2361
24/4/2024,-50,-2417,-2027
25/4/2024,-50,-2047,-1703
26/4/2024,-50,-1888,-1552
28/4/2024,,,
29/4/2024,-50,-1448,-1392
30/4/2024,-60,-1944,-1551
1/5/2024,,,
2/5/2024,,,
3/5/2024,,,
4/5/2024,,,
6/5/2024,-60,,
7/5/2024,-80,-1353,-1335
8/5/2024,-70,-1396,-1322
9/5/2024,-60,-1226,-1161
10/5/2024,-60,-1576,-1368
11/5/2024,,,
13/5/2024,-50,-1203,-1039
14/5/2024,,-1274,-1268
15/5/2024,10,-1413,-1372
16/5/2024,10,-1648,-1543
17/5/2024,-80,-1583,-1366
20/5/2024,-100,-1570,-1515
21/5/2024,-120,-1805,-1439
22/5/2024,-140,-2204,-1922
23/5/2024,-120,-1635,-1577
24/5/2024,-100,-1657,-1533
27/5/2024,-110,,
28/5/2024,-120,-1979,-1727
29/5/2024,-120,-2546,-1978
30/5/2024,-150,-1805,-1810
31/5/2024,-140,-1886,-1449
3/6/2024,-120,-1686,-1433
4/6/2024,-110,-1663,-1299
5/6/2024,-90,-1498,-1359
6/6/2024,-70,-1466,-1303
7/6/2024,-70,-1397,-1305
10/6/2024,,,
11/6/2024,-50,-1097,-998
12/6/2024,-30,-859,-882
13/6/2024,-10,-1183,-1204
14/6/2024,0,-1233,-1203
17/6/2024,20,-947,-1072
18/6/2024,-30,-987,-941
19/6/2024,-40,-1044,-933
20/6/2024,-50,-1080,-926
21/6/2024,-60,-1177,-1081
24/6/2024,-60,-1275,-1102
25/6/2024,-70,-1321,-1135
26/6/2024,-70,-1463,-1130
27/6/2024,-80,-1435,-1301
28/6/2024,-80,-1580,-1269
1/7/2024,-80,-1688,-1393
2/7/2024,-70,-1527,-1283
3/7/2024,-60,-1475,-1237
4/7/2024,-50,-1478,-1380
5/7/2024,-50,-1407,-1383
8/7/2024,-50,-1483,-1368
9/7/2024,-50,-1402,-1265
10/7/2024,-40,-1066,-1243
11/7/2024,-20,-1124,-1147
12/7/2024,-20,-1082,-1200
15/7/2024,10,-1072,-1240
16/7/2024,-40,-1236,-1232
17/7/2024,-40,-901,-962
18/7/2024,-50,-1208,-1081
19/7/2024,-60,-961,-845
22/7/2024,-70,-676,-678
23/7/2024,-60,-662,-663
24/7/2024,-60,-627,-475
25/7/2024,-50,-636,-528
26/7/2024,-40,-388,-374
29/7/2024,-40,-390,-431
30/7/2024,-50,-241,-336
31/7/2024,-50,-333,-324
1/8/2024,-60,-593,-609
2/8/2024,,-453,-468
5/8/2024,-50,-153,-377
6/8/2024,-50,-371,-578
7/8/2024,-50,-643,-754
8/8/2024,-50,-747,-786
9/8/2024,-50,-648,-695
12/8/2024,-40,-854,-822
13/8/2024,-30,-645,-801
14/8/2024,-10,-951,-1072
15/8/2024,-10,-1103,-1015
16/8/2024,-70,-982,-892
19/8/2024,-80,-1049,-881
20/8/2024,-80,-1336,-1121
21/8/2024,-80,-1774,-1498
22/8/2024,-80,-1748,-1447
23/8/2024,-80,-1766,-1444
26/8/2024,-90,,-1675
27/8/2024,-100,-1849,-1566
28/8/2024,-100,-1769,-1622
29/8/2024,-90,-1565,-1330
30/8/2024,-80,-1591,-1321
2/9/2024,-80,-1373,-1192
3/9/2024,-60,-1166,-1060
4/9/2024,-40,-1273,-1171
5/9/2024,-30,-1043,-1060
6/9/2024,-20,-1206,-1043
9/9/2024,0,-970,-870
10/9/2024,-10,-917,-845
11/9/2024,10,-960,-816
12/9/2024,10,-1078,-891
13/9/2024,10,-1085,-968
14/9/2024,,,
16/9/2024,,,
17/9/2024,,,
18/9/2024,40,-1614,-1395
19/9/2024,-50,-1974,-1576
20/9/2024,-60,-1621,-1457
23/9/2024,-50,-1253,-1186
24/9/2024,-50,-1497,-1210
25/9/2024,-50,-1463,-1491
26/9/2024,-50,-1597,-1192
27/9/2024,-50,-1956,-1622
29/9/2024,,,
30/9/2024,-50,-2065,-1727
1/10/2024,,,
2/10/2024,,,
3/10/2024,,,
4/10/2024,,,
7/10/2024,,,-1950
8/10/2024,-50,-1404,-1286
9/10/2024,-40,-1406,-1248
10/10/2024,-40,-1216,-1016
11/10/2024,-20,-1490,-1284
12/10/2024,,,
14/10/2024,20,-1414,-1345
15/10/2024,30,-1046,-1275
16/10/2024,0,-1263,-1292
17/10/2024,-10,-948,-1243
18/10/2024,-10,-1395,-1334
21/10/2024,0,-1676,-1625
22/10/2024,10,-1523,-1436
23/10/2024,20,-1805,-1695
24/10/2024,20,-1856,-1865
25/10/2024,30,,
28/10/2024,20,-1797,-1877
29/10/2024,30,-1744,-1781
30/10/2024,30,-1901,-1923
31/10/2024,40,-1634,-1669
1/11/2024,40,-1743,-1773
4/11/2024,50,-1459,-1515
5/11/2024,70,-1348,-1473
6/11/2024,80,-1270,-1653
7/11/2024,80,-1110,-1240
8/11/2024,70,-1427,-1572
11/11/2024,60,-1144,-1359
12/11/2024,50,-1017,-1325
13/11/2024,,-1256,-1374
14/11/2024,30,-1211,-1338
15/11/2024,80,-1064,-1270
18/11/2024,40,-2372,-2564
19/11/2024,60,-1926,-2210
20/11/2024,80,-1789,-2560
21/11/2024,80,-1949,-2238
22/11/2024,80,-2200,-2386
25/11/2024,70,-2504,-2495
26/11/2024,60,-2318,-2312
27/11/2024,50,-2251,-2171
28/11/2024,30,-2107,-2196
29/11/2024,,,
2/12/2024,0,-2301,-2187
3/12/2024,10,-2390,-2204
4/12/2024,20,-2477,-2159
5/12/2024,20,-2377,-2300
6/12/2024,,,
9/12/2024,20,-2157,-2265
10/12/2024,0,-2153,-2270
11/12/2024,0,-2330,-2436
12/12/2024,-20,-2407,-2348
13/12/2024,0,-2340,-2349
16/12/2024,-30,-2592,-2564
17/12/2024,-90,-2317,-2291
18/12/2024,-110,-2366,-2335
19/12/2024,-120,-2392,-2259
20/12/2024,-100,-2388,-2197
23/12/2024,-90,-2399,-2332
24/12/2024,-60,-2598,-2402
25/12/2024,-40,,-2543
26/12/2024,-30,,-2679
27/12/2024,-20,-2737,-2552
30/12/2024,,-2831,-2629
31/12/2024,-10,-2781,-2744
1/1/2025,,,
2/1/2025,0,,
3/1/2025,0,-2491,-2481
6/1/2025,0,-2380,-2391
7/1/2025,-20,-2497,-2389
8/1/2025,-30,-2674,-2558
9/1/2025,-30,-2783,-2389
10/1/2025,-40,-2802,-2473
13/1/2025,-50,-2796,-2528
14/1/2025,-70,-2753,-2452
15/1/2025,-90,-2860,-2515
16/1/2025,-90,-3092,-2745
17/1/2025,-80,-3162,-2819
20/1/2025,-60,-3335,-2918
21/1/2025,-50,-3160,-2900
22/1/2025,-30,-2948,-2671
23/1/2025,-20,-2923,-2690
24/1/2025,-20,-3159,-2699
26/1/2025,,,
27/1/2025,-20,-2970,-2643
28/1/2025,,,
29/1/2025,,,
30/1/2025,,,
31/1/2025,,,
3/2/2025,,,
4/2/2025,,,
5/2/2025,-40,-3172,-2757
6/2/2025,-40,-3159,-2612
7/2/2025,-40,-3040,-2481
8/2/2025,,,
10/2/2025,-40,-3036,-2437
11/2/2025,-40,-3065,-2523
12/2/2025,-30,-2915,-2376
13/2/2025,-30,-2875,-2263
14/2/2025,-40,-2760,-2091
